game_date,game_loc,away_team,away_team_score,home_team,home_team_score
2025-03-18,Tokyo Dome,Los Angeles Dodgers,4,Chicago Cubs,1
2025-03-19,Tokyo Dome,Los Angeles Dodgers,6,Chicago Cubs,3
2025-03-27,Chase Field,Chicago Cubs,10,Arizona Diamondbacks,6
2025-03-27,Guaranteed Rate Field,Los Angeles Angels,1,Chicago White Sox,8
2025-03-27,Great American Ball Park,San Francisco Giants,6,Cincinnati Reds,4
2025-03-27,Minute Maid Park,New York Mets,1,Houston Astros,3
2025-03-27,Kauffman Stadium,Cleveland Guardians,7,Kansas City Royals,4
2025-03-27,Dodger Stadium,Detroit Tigers,4,Los Angeles Dodgers,5
2025-03-27,loanDepot park,Pittsburgh Pirates,4,Miami Marlins,5
2025-03-27,Yankee Stadium III,Milwaukee Brewers,2,New York Yankees,4
2025-03-27,Petco Park,Atlanta Braves,4,San Diego Padres,7
2025-03-27,T-Mobile Park,Athletics,2,Seattle Mariners,4
2025-03-27,Busch Stadium III,Minnesota Twins,3,St. Louis Cardinals,5
2025-03-27,Globe Life Field,Boston Red Sox,5,Texas Rangers,2
2025-03-27,Rogers Centre,Baltimore Orioles,12,Toronto Blue Jays,2
2025-03-27,Nationals Park,Philadelphia Phillies,7,Washington Nationals,3
2025-03-28,Chase Field,Chicago Cubs,1,Arizona Diamondbacks,8
2025-03-28,Minute Maid Park,New York Mets,3,Houston Astros,1
2025-03-28,Dodger Stadium,Detroit Tigers,5,Los Angeles Dodgers,8
2025-03-28,loanDepot park,Pittsburgh Pirates,4,Miami Marlins,3
2025-03-28,Petco Park,Atlanta Braves,3,San Diego Padres,4
2025-03-28,T-Mobile Park,Athletics,7,Seattle Mariners,0
2025-03-28,Steinbrenner Field,Colorado Rockies,2,Tampa Bay Rays,3
2025-03-28,Globe Life Field,Boston Red Sox,1,Texas Rangers,4
2025-03-28,Rogers Centre,Baltimore Orioles,2,Toronto Blue Jays,8
2025-03-29,Chase Field,Chicago Cubs,4,Arizona Diamondbacks,3
2025-03-29,Guaranteed Rate Field,Los Angeles Angels,1,Chicago White Sox,0
2025-03-29,Great American Ball Park,San Francisco Giants,2,Cincinnati Reds,3
2025-03-29,Minute Maid Park,New York Mets,1,Houston Astros,2
2025-03-29,Kauffman Stadium,Cleveland Guardians,3,Kansas City Royals,4
2025-03-29,Dodger Stadium,Detroit Tigers,3,Los Angeles Dodgers,7
2025-03-29,loanDepot park,Pittsburgh Pirates,4,Miami Marlins,5
2025-03-29,Yankee Stadium III,Milwaukee Brewers,9,New York Yankees,20
2025-03-29,Petco Park,Atlanta Braves,0,San Diego Padres,1
2025-03-29,T-Mobile Park,Athletics,4,Seattle Mariners,2
2025-03-29,Busch Stadium III,Minnesota Twins,1,St. Louis Cardinals,5
2025-03-29,Steinbrenner Field,Colorado Rockies,2,Tampa Bay Rays,1
2025-03-29,Globe Life Field,Boston Red Sox,3,Texas Rangers,4
2025-03-29,Rogers Centre,Baltimore Orioles,9,Toronto Blue Jays,5
2025-03-29,Nationals Park,Philadelphia Phillies,11,Washington Nationals,6
2025-03-30,Chase Field,Chicago Cubs,6,Arizona Diamondbacks,10
2025-03-30,Guaranteed Rate Field,Los Angeles Angels,3,Chicago White Sox,2
2025-03-30,Great American Ball Park,San Francisco Giants,6,Cincinnati Reds,3
2025-03-30,Kauffman Stadium,Cleveland Guardians,6,Kansas City Royals,2
2025-03-30,loanDepot park,Pittsburgh Pirates,2,Miami Marlins,3
2025-03-30,Yankee Stadium III,Milwaukee Brewers,3,New York Yankees,12
2025-03-30,Petco Park,Atlanta Braves,0,San Diego Padres,5
2025-03-30,T-Mobile Park,Athletics,1,Seattle Mariners,2
2025-03-30,Busch Stadium III,Minnesota Twins,2,St. Louis Cardinals,9
2025-03-30,Steinbrenner Field,Colorado Rockies,4,Tampa Bay Rays,6
2025-03-30,Globe Life Field,Boston Red Sox,2,Texas Rangers,3
2025-03-30,Rogers Centre,Baltimore Orioles,1,Toronto Blue Jays,3
2025-03-30,Nationals Park,Philadelphia Phillies,1,Washington Nationals,5
2025-03-31,Sutter Health Park,Chicago Cubs,18,Athletics,3
2025-03-31,Oriole Park at Camden Yards,Boston Red Sox,5,Baltimore Orioles,8
2025-03-31,Guaranteed Rate Field,Minnesota Twins,0,Chicago White Sox,9
2025-03-31,Great American Ball Park,Texas Rangers,3,Cincinnati Reds,14
2025-03-31,Minute Maid Park,San Francisco Giants,7,Houston Astros,2
2025-03-31,Dodger Stadium,Atlanta Braves,1,Los Angeles Dodgers,6
2025-03-31,loanDepot park,New York Mets,10,Miami Marlins,4
2025-03-31,American Family Field,Kansas City Royals,11,Milwaukee Brewers,1
2025-03-31,Citizens Bank Park,Colorado Rockies,1,Philadelphia Phillies,6
2025-03-31,Petco Park,Cleveland Guardians,2,San Diego Padres,7
2025-03-31,T-Mobile Park,Detroit Tigers,9,Seattle Mariners,6
2025-03-31,Busch Stadium III,Los Angeles Angels,5,St. Louis Cardinals,4
2025-03-31,Steinbrenner Field,Pittsburgh Pirates,1,Tampa Bay Rays,6
2025-03-31,Rogers Centre,Washington Nationals,2,Toronto Blue Jays,5
2025-04-01,Sutter Health Park,Chicago Cubs,7,Athletics,4
2025-04-01,Guaranteed Rate Field,Minnesota Twins,8,Chicago White Sox,3
2025-04-01,Great American Ball Park,Texas Rangers,1,Cincinnati Reds,0
2025-04-01,Minute Maid Park,San Francisco Giants,3,Houston Astros,1
2025-04-01,Dodger Stadium,Atlanta Braves,1,Los Angeles Dodgers,3
2025-04-01,loanDepot park,New York Mets,2,Miami Marlins,4
2025-04-01,American Family Field,Kansas City Royals,0,Milwaukee Brewers,5
2025-04-01,Yankee Stadium III,Arizona Diamondbacks,7,New York Yankees,5
2025-04-01,Petco Park,Cleveland Guardians,0,San Diego Padres,7
2025-04-01,T-Mobile Park,Detroit Tigers,4,Seattle Mariners,1
2025-04-01,Busch Stadium III,Los Angeles Angels,9,St. Louis Cardinals,7
2025-04-01,Steinbrenner Field,Pittsburgh Pirates,0,Tampa Bay Rays,7
2025-04-01,Rogers Centre,Washington Nationals,3,Toronto Blue Jays,5
2025-04-02,Sutter Health Park,Chicago Cubs,10,Athletics,2
2025-04-02,Oriole Park at Camden Yards,Boston Red Sox,3,Baltimore Orioles,0
2025-04-02,Guaranteed Rate Field,Minnesota Twins,6,Chicago White Sox,1
2025-04-02,Great American Ball Park,Texas Rangers,1,Cincinnati Reds,0
2025-04-02,Minute Maid Park,San Francisco Giants,6,Houston Astros,3
2025-04-02,Dodger Stadium,Atlanta Braves,5,Los Angeles Dodgers,6
2025-04-02,loanDepot park,New York Mets,6,Miami Marlins,5
2025-04-02,American Family Field,Kansas City Royals,2,Milwaukee Brewers,3
2025-04-02,Yankee Stadium III,Arizona Diamondbacks,4,New York Yankees,3
2025-04-02,Citizens Bank Park,Colorado Rockies,1,Philadelphia Phillies,5
2025-04-02,Petco Park,Cleveland Guardians,2,San Diego Padres,5
2025-04-02,T-Mobile Park,Detroit Tigers,2,Seattle Mariners,3
2025-04-02,Busch Stadium III,Los Angeles Angels,5,St. Louis Cardinals,12
2025-04-02,Steinbrenner Field,Pittsburgh Pirates,4,Tampa Bay Rays,2
2025-04-02,Rogers Centre,Washington Nationals,2,Toronto Blue Jays,4
2025-04-03,Oriole Park at Camden Yards,Boston Red Sox,8,Baltimore Orioles,4
2025-04-03,American Family Field,Cincinnati Reds,0,Milwaukee Brewers,1
2025-04-03,Target Field,Houston Astros,5,Minnesota Twins,2
2025-04-03,Yankee Stadium III,Arizona Diamondbacks,7,New York Yankees,9
2025-04-03,Citizens Bank Park,Colorado Rockies,1,Philadelphia Phillies,3
2025-04-04,Angel Stadium of Anaheim,Cleveland Guardians,8,Los Angeles Angels,6
2025-04-04,Truist Park,Miami Marlins,0,Atlanta Braves,10
2025-04-04,Fenway Park,St. Louis Cardinals,9,Boston Red Sox,13
2025-04-04,Wrigley Field,San Diego Padres,1,Chicago Cubs,3
2025-04-04,Coors Field,Athletics,6,Colorado Rockies,3
2025-04-04,Comerica Park,Chicago White Sox,4,Detroit Tigers,7
2025-04-04,Kauffman Stadium,Baltimore Orioles,2,Kansas City Royals,8
2025-04-04,American Family Field,Cincinnati Reds,2,Milwaukee Brewers,3
2025-04-04,Citi Field,Toronto Blue Jays,0,New York Mets,5
2025-04-04,Citizens Bank Park,Los Angeles Dodgers,2,Philadelphia Phillies,3
2025-04-04,PNC Park,New York Yankees,9,Pittsburgh Pirates,4
2025-04-04,Oracle Park,Seattle Mariners,9,San Francisco Giants,10
2025-04-04,Globe Life Field,Tampa Bay Rays,2,Texas Rangers,5
2025-04-04,Nationals Park,Arizona Diamondbacks,6,Washington Nationals,4
2025-04-05,Angel Stadium of Anaheim,Cleveland Guardians,4,Los Angeles Angels,10
2025-04-05,Truist Park,Miami Marlins,4,Atlanta Braves,0
2025-04-05,Wrigley Field,San Diego Padres,1,Chicago Cubs,7
2025-04-05,Coors Field,Athletics,7,Colorado Rockies,4
2025-04-05,Comerica Park,Chicago White Sox,2,Detroit Tigers,7
2025-04-05,Kauffman Stadium,Baltimore Orioles,8,Kansas City Royals,1
2025-04-05,American Family Field,Cincinnati Reds,11,Milwaukee Brewers,7
2025-04-05,Target Field,Houston Astros,1,Minnesota Twins,6
2025-04-05,Citi Field,Toronto Blue Jays,2,New York Mets,3
2025-04-05,Citizens Bank Park,Los Angeles Dodgers,3,Philadelphia Phillies,1
2025-04-05,PNC Park,New York Yankees,10,Pittsburgh Pirates,4
2025-04-05,Oracle Park,Seattle Mariners,1,San Francisco Giants,4
2025-04-05,Globe Life Field,Tampa Bay Rays,4,Texas Rangers,6
2025-04-05,Nationals Park,Arizona Diamondbacks,3,Washington Nationals,4
2025-04-06,Angel Stadium of Anaheim,Cleveland Guardians,2,Los Angeles Angels,6
2025-04-06,Fenway Park,St. Louis Cardinals,4,Boston Red Sox,5
2025-04-06,Fenway Park,St. Louis Cardinals,7,Boston Red Sox,18
2025-04-06,Wrigley Field,San Diego Padres,8,Chicago Cubs,7
2025-04-06,Coors Field,Athletics,5,Colorado Rockies,12
2025-04-06,Comerica Park,Chicago White Sox,3,Detroit Tigers,4
2025-04-06,Kauffman Stadium,Baltimore Orioles,1,Kansas City Royals,4
2025-04-06,American Family Field,Cincinnati Reds,2,Milwaukee Brewers,8
2025-04-06,Target Field,Houston Astros,9,Minnesota Twins,7
2025-04-06,Citi Field,Toronto Blue Jays,1,New York Mets,2
2025-04-06,Citizens Bank Park,Los Angeles Dodgers,7,Philadelphia Phillies,8
2025-04-06,PNC Park,New York Yankees,4,Pittsburgh Pirates,5
2025-04-06,Oracle Park,Seattle Mariners,4,San Francisco Giants,5
2025-04-06,Globe Life Field,Tampa Bay Rays,3,Texas Rangers,4
2025-04-06,Nationals Park,Arizona Diamondbacks,4,Washington Nationals,5
2025-04-07,Chase Field,Baltimore Orioles,5,Arizona Diamondbacks,1
2025-04-07,Sutter Health Park,San Diego Padres,5,Athletics,4
2025-04-07,Fenway Park,Toronto Blue Jays,6,Boston Red Sox,2
2025-04-07,Wrigley Field,Texas Rangers,0,Chicago Cubs,7
2025-04-07,Comerica Park,New York Yankees,2,Detroit Tigers,6
2025-04-07,Kauffman Stadium,Minnesota Twins,2,Kansas City Royals,4
2025-04-07,Citi Field,Miami Marlins,0,New York Mets,2
2025-04-07,PNC Park,St. Louis Cardinals,4,Pittsburgh Pirates,8
2025-04-07,T-Mobile Park,Houston Astros,3,Seattle Mariners,4
2025-04-07,Oracle Park,Cincinnati Reds,2,San Francisco Giants,0
2025-04-07,Nationals Park,Los Angeles Dodgers,4,Washington Nationals,6
2025-04-08,Chase Field,Baltimore Orioles,3,Arizona Diamondbacks,4
2025-04-08,Sutter Health Park,San Diego Padres,4,Athletics,10
2025-04-08,Truist Park,Philadelphia Phillies,5,Atlanta Braves,7
2025-04-08,Fenway Park,Toronto Blue Jays,6,Boston Red Sox,1
2025-04-08,Wrigley Field,Texas Rangers,6,Chicago Cubs,10
2025-04-08,Progressive Field,Chicago White Sox,0,Cleveland Guardians,1
2025-04-08,Coors Field,Milwaukee Brewers,7,Colorado Rockies,1
2025-04-08,Comerica Park,New York Yankees,0,Detroit Tigers,5
2025-04-08,Kauffman Stadium,Minnesota Twins,1,Kansas City Royals,2
2025-04-08,Citi Field,Miami Marlins,5,New York Mets,10
2025-04-08,PNC Park,St. Louis Cardinals,5,Pittsburgh Pirates,3
2025-04-08,T-Mobile Park,Houston Astros,2,Seattle Mariners,1
2025-04-08,Oracle Park,Cincinnati Reds,1,San Francisco Giants,0
2025-04-08,Steinbrenner Field,Los Angeles Angels,4,Tampa Bay Rays,3
2025-04-08,Nationals Park,Los Angeles Dodgers,2,Washington Nationals,8
2025-04-09,Chase Field,Baltimore Orioles,0,Arizona Diamondbacks,9
2025-04-09,Sutter Health Park,San Diego Padres,2,Athletics,1
2025-04-09,Truist Park,Philadelphia Phillies,4,Atlanta Braves,3
2025-04-09,Fenway Park,Toronto Blue Jays,2,Boston Red Sox,1
2025-04-09,Wrigley Field,Texas Rangers,6,Chicago Cubs,2
2025-04-09,Progressive Field,Chicago White Sox,2,Cleveland Guardians,3
2025-04-09,Coors Field,Milwaukee Brewers,17,Colorado Rockies,2
2025-04-09,Comerica Park,New York Yankees,4,Detroit Tigers,3
2025-04-09,Kauffman Stadium,Minnesota Twins,4,Kansas City Royals,0
2025-04-09,Citi Field,Miami Marlins,5,New York Mets,0
2025-04-09,PNC Park,St. Louis Cardinals,1,Pittsburgh Pirates,2
2025-04-09,T-Mobile Park,Houston Astros,6,Seattle Mariners,7
2025-04-09,Oracle Park,Cincinnati Reds,6,San Francisco Giants,8
2025-04-09,Steinbrenner Field,Los Angeles Angels,4,Tampa Bay Rays,5
2025-04-09,Nationals Park,Los Angeles Dodgers,6,Washington Nationals,5
2025-04-10,Truist Park,Philadelphia Phillies,2,Atlanta Braves,4
2025-04-10,Fenway Park,Toronto Blue Jays,3,Boston Red Sox,4
2025-04-10,Progressive Field,Chicago White Sox,1,Cleveland Guardians,6
2025-04-10,Coors Field,Milwaukee Brewers,2,Colorado Rockies,7
2025-04-10,Kauffman Stadium,Minnesota Twins,2,Kansas City Royals,3
2025-04-10,Steinbrenner Field,Los Angeles Angels,11,Tampa Bay Rays,1
2025-04-11,Chase Field,Milwaukee Brewers,7,Arizona Diamondbacks,0
2025-04-11,Sutter Health Park,New York Mets,7,Athletics,6
2025-04-11,Guaranteed Rate Field,Boston Red Sox,1,Chicago White Sox,11
2025-04-11,Great American Ball Park,Pittsburgh Pirates,3,Cincinnati Reds,5
2025-04-11,Progressive Field,Kansas City Royals,0,Cleveland Guardians,7
2025-04-11,Minute Maid Park,Los Angeles Angels,3,Houston Astros,14
2025-04-11,Dodger Stadium,Chicago Cubs,0,Los Angeles Dodgers,3
2025-04-11,loanDepot park,Washington Nationals,7,Miami Marlins,4
2025-04-11,Target Field,Detroit Tigers,7,Minnesota Twins,6
2025-04-11,Yankee Stadium III,San Francisco Giants,9,New York Yankees,1
2025-04-11,Petco Park,Colorado Rockies,0,San Diego Padres,8
2025-04-11,T-Mobile Park,Texas Rangers,3,Seattle Mariners,5
2025-04-11,Busch Stadium III,Philadelphia Phillies,0,St. Louis Cardinals,2
2025-04-11,Steinbrenner Field,Atlanta Braves,3,Tampa Bay Rays,6
2025-04-12,Chase Field,Milwaukee Brewers,4,Arizona Diamondbacks,5
2025-04-12,Sutter Health Park,New York Mets,1,Athletics,3
2025-04-12,Oriole Park at Camden Yards,Toronto Blue Jays,4,Baltimore Orioles,5
2025-04-12,Guaranteed Rate Field,Boston Red Sox,2,Chicago White Sox,3
2025-04-12,Great American Ball Park,Pittsburgh Pirates,2,Cincinnati Reds,5
2025-04-12,Progressive Field,Kansas City Royals,3,Cleveland Guardians,6
2025-04-12,Minute Maid Park,Los Angeles Angels,4,Houston Astros,1
2025-04-12,Dodger Stadium,Chicago Cubs,16,Los Angeles Dodgers,0
2025-04-12,loanDepot park,Washington Nationals,6,Miami Marlins,7
2025-04-12,Target Field,Detroit Tigers,4,Minnesota Twins,0
2025-04-12,Yankee Stadium III,San Francisco Giants,4,New York Yankees,8
2025-04-12,Petco Park,Colorado Rockies,0,San Diego Padres,2
2025-04-12,T-Mobile Park,Texas Rangers,2,Seattle Mariners,9
2025-04-12,Busch Stadium III,Philadelphia Phillies,4,St. Louis Cardinals,1
2025-04-12,Steinbrenner Field,Atlanta Braves,5,Tampa Bay Rays,4
